feature,F1_Invalid,delta_F1,F1_std,R2,delta_R2,R2_std,MAE,delta_MAE,MAE_std
S1_S2,0.8234145175728199,0.11631317489748427,0.047813675913805316,0.9801487014027326,0.00015636440330613066,0.015832948026827557,0.7558040491938433,-0.004132615141026141,0.07928387526181405
S2_S3,0.7953253637802702,0.08822402110493455,0.06378475025694275,0.980104195463914,0.00011185846448757975,0.01575425625448985,0.7594121889625701,-0.0005244753722992712,0.0751414560354369
Sensor_max,0.7111813508295031,0.004080008154167425,0.0823014326013337,0.9800606117639192,6.827476449278169e-05,0.015717957275764274,0.7591120398145865,-0.0008246245202828684,0.07707279831741719
V2,0.7118480174961697,0.004746674820834018,0.08186951410909438,0.9800590422041732,6.670520474671982e-05,0.015724066917677394,0.7586939305847406,-0.0012427337501288438,0.07733685332825947
Sensor_min,0.7556923972945699,0.0485910546192343,0.07747384584030904,0.9800485733036514,5.623630422491033e-05,0.01583764250966182,0.7580508452178116,-0.0018858191170577632,0.07537365902888916
VxI,0.7118480174961697,0.004746674820834018,0.08186951410909438,0.9800453339953171,5.299699589067508e-05,0.015717666161621485,0.7590929139523491,-0.0008437503825202697,0.07720836596531679
I2,0.7106772857888527,0.003575943113517055,0.08037771312687093,0.9800088725019903,1.6535502563863602e-05,0.015696960122778842,0.760024532303389,8.786796851956158e-05,0.07638738366571142
S1_S3,0.8178980148581896,0.11079667218285394,0.05903684377835783,0.9799901057117332,-2.231287693277295e-06,0.01581145165796504,0.7593569269738951,-0.0005797373609742751,0.0771358115448202
IxDur,0.701883948221567,-0.005217394453768676,0.09468493675868155,0.9799823381134277,-9.99888599872989e-06,0.01555717993404598,0.7658360475942932,0.0058993832594238516,0.07445891928033839
Sensor_avg,0.7121120244929542,0.005010681817618545,0.07073708487785994,0.9799808217498464,-1.151524958009631e-05,0.01584665217349131,0.7609193636811362,0.0009826993462668243,0.0787283742214145
